PROVINCE/TERRITORY,COMMUNITY,ENGLISH_NAME
ON,Ottawa,The Ottawa Hospital - Civic Campus
ON,London,St. Joseph's Health Care London - St. Joseph's Hospital
ON,Brockville,Brockville General - St. Vincent De Paul
ON,Toronto,Holland Bloorview Kids Rehabilitation Hospital
ON,Sudbury,St. Joseph's Continuing Care Centre Of Sudbury
ON,Etobicoke,William Osler Health System - Etobicoke
ON,Iroquois Falls,Anson General Hospital
ON,Hamilton,Hamilton Health Sciences - Juravinski
ON,Dunnville,Haldimand War Memorial Hospital
ON,Toronto,Centre For Addiction and Mental Health - College Street Site
ON,Kirkland Lake,Kirkland and District Hospital
ON,Ottawa,Bruyère Continuing Care - Saint-Vincent Hospital
ON,Midland,Georgian Bay General Hospital - Midland
ON,Fort Frances,Riverside Health Care - Laverendrye
ON,Owen Sound,Grey Bruce Health Services - Owen Sound
ON,Ajax,Lakeridge Health - Ajax
ON,Emo,Riverside Health Care - Emo
ON,Scarborough,Scarborough and Rouge Hospital - Centenary
ON,Georgetown,Halton Healthcare Services - Georgetown
ON,Wawa,Lady Dunn Health Centre
ON,Kingston,Kingston Health Sciences Centre - Hotel Dieu
ON,Red Lake,Red Lake Margaret Cochenour Memorial Hospital
ON,Winchester,Winchester District Memorial Hospital
ON,Southampton,Grey Bruce Health Services - Southampton
ON,Cobourg,Northumberland Hills Hospital
ON,Bowmanville,Lakeridge Health - Bowmanville
ON,Brantford,Brant Community Healthcare - Brantford General
ON,Timmins,Timmins and District Hospital
ON,London,St. Joseph's Health Care London - Parkwood
ON,Collingwood,Collingwood General and Marine Hospital
ON,Hamilton,St. Joseph's Healthcare Hamilton - Charlton Campus
ON,Toronto,The Hospital For Sick Children
ON,Etobicoke,Humber River Hospital - Church (Memorial)
ON,Hearst,Notre Dame Hospital
ON,Penetanguishene,Waypoint Centre For Mental Health Care - main location
ON,Kincardine,South Bruce Grey Health Centre - Kincardine
ON,East York,St. Joseph's Infirmary
ON,Toronto,Sinai Health System - Bridgepoint
ON,Stratford,Stratford General Hospital
ON,Toronto,Humber River Hospital - Wilson
ON,Windsor,Hotel-Dieu Grace Healthcare
ON,Ottawa,The Ottawa Hospital - Riverside Campus
ON,Toronto,North York General Hospital - General Site
ON,Huntsville,Muskoka Algonquin Healthcare - Huntsville
ON,Sudbury,Health Sciences North - Sudbury Mental Health and Addictions Centre
ON,Terrace Bay,North of Superior Healthcare Group - McCausland Hospital
ON,Mississauga,Trillium Health Partners - Credit Valley
ON,Carleton Place,Carleton Place and District Memorial Hospital
ON,Toronto,Women's College Hospital
ON,Niagara Falls,Niagara Health System - Greater Niagara
ON,Toronto,University Health Network - Toronto Western
ON,Port Colborne,Niagara Health System - Port Colborne
ON,Cornwall,Hotel Dieu Hospital of Cornwall
ON,Cochrane,Lady Minto Hospital
ON,Brockville,Brockville Mental Health Centre
ON,Grimsby,Hamilton Health Sciences - West Lincoln
ON,Ottawa,Children's Hospital Of Eastern Ontario
ON,New Liskeard,Temiskaming Hospital
ON,Napanee,Lennox and Addington County General Hospital
ON,Simcoe,Norfolk General Hospital
ON,Toronto,Centre For Addiction and Mental Health - Queen Street Site
ON,Kenora,Lake-Of-The-Woods District Hospital
ON,Ottawa,The Ottawa Hospital - The Rehabilitation Centre
ON,Orangeville,Headwaters Health Care Centre - Dufferin
ON,Toronto,Sunnybrook Health Sciences Centre - St. John's Rehab
ON,Port Perry,Lakeridge Health - Port Perry
ON,Deep River,Deep River and District Hospital
ON,Hamilton,Hamilton Health Sciences - General
ON,Toronto,Baycrest Hospital - North York
ON,Fergus,Groves Memorial Community Hospital
ON,Toronto,Trillium Health Partners- Queensway
ON,London,London Health Sciences Centre - Victoria
ON,Lion's Head,Grey Bruce Health Services - Lion's Head
ON,Rainy River,Riverside Health Care - Rainy River
ON,Hamilton,St. Joseph's Healthcare Hamilton
ON,St. Thomas,St. Joseph's Health Care London - Southwest Centre for Forensic Mental Health Care
ON,Richards Landing,North Shore Health Network - Richards Landing
ON,St. Marys,St. Marys Memorial Hospital
ON,Moose Factory,Weeneebayko Area Health Authority - Moose Factory
ON,Lindsay,Ross Memorial Hospital
ON,Wallaceburg,Chatham-Kent Health Alliance - Sydenham Site
ON,Sioux Lookout,Sioux Lookout Meno Ya Win Health Centre - Lookout District
ON,Mississauga,Trillium Health Partners- Mississauga
ON,Kitchener,Grand River Hospital - Freeport
ON,North Bay,North Bay Regional Health Centre
ON,Hamilton,Hamilton Health Sciences - St. Peter's Hospital
ON,Bracebridge,Muskoka Algonquin Healthcare - Bracebridge
ON,Hamilton,Hamilton Health Sciences - McMaster
ON,Cambridge,Cambridge Memorial Hospital
ON,Haliburton,Haliburton Highlands Health Services - Haliburton
ON,Chatham,Chatham-Kent Health Alliance - Chatham Site
ON,Atikokan,Atikokan General Hospital
ON,Toronto,Providence St. Joseph's and St. Michael's Healthcare - St. Joseph's
ON,Seaforth,Seaforth Community Hospital
ON,Kapuskasing,Sensenbrenner Hospital
ON,Walkerton,South Bruce Grey Health Centre - Walkerton
ON,Sudbury,North Bay Regional Health Centre - Kirkwood
ON,Durham,South Bruce Grey Health Centre - Durham
ON,Mount Forest,North Wellington Health Care - Louise Marshall
ON,Toronto,Casey House Hospice
ON,Scarborough,Scarborough and Rouge Hospital - Birchmount
ON,Thornhill,Shouldice Hospital
ON,Trenton,Quinte Healthcare - Trenton
ON,Oshawa,Lakeridge Health - Oshawa
ON,Markdale,Grey Bruce Health Services - Markdale
ON,Hawkesbury,Hawkesbury And District General Hospital
ON,Geraldton,Geraldton District Hospital
ON,Richmond Hill,MacKenzie Health -  Richmond Hill
ON,Scarborough,Scarborough and Rouge Hospital - Scarborough General
ON,Perth,Perth and Smiths Falls District Hospital - Perth
ON,Moose Factory,Weeneebayko Area Health Authority - Attawapiskat
ON,Ingersoll,Alexandra Hospital
ON,Wingham,Wingham and District Hospital
ON,SmithsFalls,Perth and Smiths Falls District Hospital - Smiths Falls
ON,Windsor,Windsor Regional Hospital - Mary Vale
ON,Toronto,Salvation Army Toronto Grace Health Centre
ON,Pembroke,Pembroke Regional  Hospital
ON,Niagara-on-the-,Niagara Health System - Niagara-on-the-Lake
ON,Alliston,Stevenson Memorial Hospital
ON,Ottawa,University of Ottawa Heart Institute
ON,Sudbury,Health Sciences North - Ramsay Lake Health Centre
ON,Penetanguishene,Beechwood Private Hospital
ON,Moosonee,Weeneebayko Area Health Authority - Moosonee
ON,Leamington,Erie Shores HealthCare
ON,Hornepayne,Hornepayne Community Hospital
ON,Kemptville,Kemptville District Hospital
ON,Listowel,Listowel Memorial Hospital
ON,Hagersville,West Haldimand General
ON,Toronto,Providence St. Joseph's and St. Michael's Healthcare - Providence
ON,Toronto,Bellwood Health Services
ON,Oakville,Halton Healthcare Services - Oakville
ON,Whitby,Ontario Shores Centre For Mental Health Sciences
ON,Toronto,Sinai Health System - Mount Sinai
ON,Windsor,Windsor Regional Hospital - Metropolitan
ON,Toronto,Humber River Hospital -York Finch
ON,Elliot Lake,St. Joseph's General Hospital - Elliot Lake
ON,Markham,Markham Stouffville Hospital
ON,Exeter,South Huron Hospital
ON,Kingston,Kingston Health Sciences Centre - Kingston General
ON,Matheson,Bingham Memorial Hospital
ON,Toronto,University Health Network - Toronto General
ON,Smooth Rock Falls,Smooth Rock Falls Hospital
ON,Ottawa,Bruyère Continuing Care - Elisabeth Bruyere Hospital
ON,Toronto,Kensington Eye Institute
ON,Thunder Bay,Thunder Bay Regional Health Sciences Centre
ON,Milton,Halton Healthcare Services - Milton
ON,Mattawa,Mattawa General Hospital
ON,Blind River,North Shore Health Network - Pavillon
ON,Ottawa,Hopital Montfort
ON,Palmerston,North Wellington Health Care - Palmerston
ON,Hamilton,St. Joseph's Healthcare Hamilton - King Campus
ON,Tillsonburg,Tillsonburg District Memorial
ON,Guelph,Guelph General Hospital
ON,Whitby,Lakeridge Health - Whitby
ON,Newmarket,Southlake Regional Health Centre
ON,Windsor,Windsor Regional Hospital - Ouellette Campus
ON,Espanola,Espanola General Hospital
ON,Petrolia,Bluewater Health - Petrolia
ON,Barrie,Royal Victoria Regional Health Centre
ON,St. Catharines,Niagara Health System - St. Catharines
ON,North York,North York General Hospital - Branson Site
ON,Toronto,Toronto East Health Network
ON,Hamilton,Hamilton Health Sciences - UCC
ON,Bancroft,Quinte Healthcare - North Hastings
ON,Mindemoya,Manitoulin Health Centre - Mindemoya
ON,Paris,Brant Community Healthcare - Willet
ON,Minden,Haliburton Highlands Health Services - Minden
ON,Sarnia,Bluewater Health - Sarnia
ON,Barry's Bay,St. Francis Memorial Hospital
ON,Toronto,University Health Network - Lyndhurst
ON,Ottawa,Royal Ottawa Mental Health Centre
ON,Uxbridge,Markham Stouffville Hospital - Uxbridge
ON,Sault Ste. Marie,Sault Area Hospital - General Site
ON,Toronto,Runnymede Healthcare Centre
ON,Marathon,North of Superior Healthcare Group - Wilson Memorial General Hospital Site
ON,Toronto,Sunnybrook Health Sciences Centre - Holland Orthopaedic & Arthritic Centre
ON,Guelph,St. Joseph's Health Centre Guelph
ON,Welland,Niagara Health System - Welland Hospital
ON,Brampton,William Osler Health System - Civic
ON,Brampton,William Osler Health System - Peel Memorial
ON,Picton,Quinte Healthcare - Picton
